datetime,language,question,answer,sources
2026-06-05 12:48:02,ru,Фактурадан аккаунтга кириб булмаяпти,"Если у вас возникли трудности со входом в аккаунт Faktura.uz, важно проверить несколько моментов, связанных с процедурой авторизации и использованием ваших учетных данных. **Что можно проверить:** 1. **Доступ к сайту:** Убедитесь, что вы переходите на правильный сайт Faktura.uz по адресу: https://faktura.uz. 2. **Кнопка ""Войти"":** На главной странице сайта нажмите кнопку «Войти». После этого вам откроется окно авторизации. 3. **Учетные данные (пароль и ЭЦП):** * При регистрации аккаунта вы придумывали и вводили пароль для входа. Убедитесь, что вы вводите правильный пароль. Минимальная длина пароля составляет 6 символов. * Для входа в аккаунт также требуется выбрать сертификат электронной цифровой подписи (ЭЦП) и ввести пароль от сертификата в окне e-imzo. Проверьте, что вы используете верный сертификат ЭЦП и знаете к нему пароль. **Если в базе нет точной инструкции:** В нашей базе знаний нет отдельной инструкции по восстановлению или сбросу забытого пароля для входа в аккаунт. **Источник / основание из базы:** Информация о регистрации, создании пароля для входа в аккаунт и использовании ЭЦП взята из документа ""Регистрация в системе Faktura.uz"" (SOURCE 1, SOURCE 2, SOURCE 3).",Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; Доверенность(Роуминг) – WIKI FAKTURA.pdf; Выбор оператора электронного документооборота – WIKI FAKTURA.pdf
2026-06-05 15:21:49,ru,Фактурадан аккаунтга кириб булмаяпти,"Если у вас возникли трудности со входом в аккаунт Faktura.uz, вот что можно проверить: **Что можно проверить:** * **Учетные данные:** Убедитесь, что вы правильно ввели номер телефона или адрес электронной почты, а также пароль. * **ЭЦП:** Если для входа используется ЭЦП, проверьте, доступен ли сертификат ЭЦП на вашем компьютере и корректно ли он работает через программу e-imzo. * **Статус сотрудника:** Если вы являетесь сотрудником, проверьте, был ли ваш аккаунт добавлен администратором и активировали ли вы приглашение. **Что делать, если это не помогло (сброс пароля):** Если после всех проверок войти не удалось, попробуйте сбросить пароль: 1. На главной странице Faktura.uz нажмите кнопку **Войдите** (расположена в правом верхнем углу). 2. На странице входа найдите и нажмите ссылку **Забыли пароль?** или аналогичную. 3. Введите адрес электронной почты, связанный с вашим аккаунтом, и отправьте запрос на восстановление. 4. Проверьте свою электронную почту. Вам придет письмо с инструкциями по восстановлению пароля. Следуйте этим инструкциям. 5. После перехода по ссылке из письма вы сможете создать новый пароль для вашего аккаунта. Если доступ восстановить не удалось, обратитесь в поддержку Faktura.uz по номеру: 📞 **+998 71 200 00 13**. **Источник / основание:** Инструкции основаны на информации из approved_case:manual_login_001.",approved_case:manual_login_001; Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf
2026-06-05 15:26:14,ru,У меня возникает ошибка при подписании документа,"Понимаю, что у вас возникла ошибка при подписании документа. В предоставленной информации нет точной инструкции по устранению ошибок, возникающих непосредственно при подписании. **Что можно проверить:** * Убедитесь, что у вас есть действующий сертификат ЭЦП (Электронной цифровой подписи). * Проверьте, что вы вошли в свой личный кабинет и прошли необходимую регистрацию в системе Faktura.uz. * Если вы подписываете доверенность как физическое лицо, убедитесь, что вы подтвердили свой ИНН/ПИНФЛ с помощью ЭЦП и активировали функцию доверенного лица в разделе ""Настройки"" > ""Личный кабинет"". Если после этих проверок проблема сохраняется, возможно, потребуется дополнительная диагностика, но, к сожалению, в нашей базе знаний нет конкретных инструкций по устранению ошибок подписания. **Источник / основание из базы:** * Для подписания документов требуется ЭЦП-ключ (SOURCE 3, SOURCE 4). * Для входа в личный кабинет физическому лицу необходим сертификат ЭЦП и регистрация, а также подтверждение ИНН/ПИНФЛ и активация функции доверенного лица (SOURCE 4).",Доверенность(Роуминг) – WIKI FAKTURA.pdf; Акт-сверки(Роуминг) – WIKI FAKTURA.pdf; Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf
2026-06-05 15:28:52,ru,У меня возникает ошибка при подписании документа,"Понимаю, что у вас возникла ошибка при подписании документа. В предоставленной базе знаний нет точной инструкции по устранению ошибок при подписании. **Что можно проверить:** * Убедитесь, что ваш ЭЦП-ключ (электронно-цифровая подпись) исправен и правильно подключен. * Если вы подписываете доверенность как физическое лицо, убедитесь, что вы прошли регистрацию в системе Faktura.uz и используете свой ЭЦП-ключ для входа в личный кабинет (Source 4). К сожалению, в базе знаний нет конкретных шагов по устранению ошибок, которые могут возникнуть при подписании документов. Если проблема сохраняется, рекомендуем обратиться в службу поддержки. **Источник / основание из базы:** * +998 71 200 00 13 (Source 1, Source 3)",Доверенность(Роуминг) – WIKI FAKTURA.pdf; Акт-сверки(Роуминг) – WIKI FAKTURA.pdf; Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf
2026-06-05 17:03:32,ru,ттн есть а счет -фактура изчезла товар маркерованый мне нужно сделать возврат срочно нужна фактура,"Мы понимаем, что у вас возникла проблема с пропажей счет-фактуры. **Что можно проверить:** В базе знаний описаны действия с уже созданными счет-фактурами. Если документ еще присутствует в системе, но вы его не видите, проверьте список ваших счет-фактур. При наличии счет-фактуры вы можете: * Просмотреть документ. * Скачать PDF-файл счета-фактуры, нажав на ссылку под его статусом. * Если документ найден, через кнопку «Действия» можно также его отредактировать, скопировать или удалить. **Если в базе нет точной инструкции — честно напиши это:** К сожалению, в нашей базе знаний нет конкретной инструкции о том, как найти или восстановить счет-фактуру, которая исчезла из системы или была удалена. Также нет информации, связывающей ТТН с исчезновением счет-фактуры, или инструкций по возврату маркированных товаров в контексте восстановления документов. **Источник / основание из базы, если возможно:** * Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf (описание действий с созданным документом, включая просмотр, скачивание и редактирование)",Акт-сверки(Роуминг) – WIKI FAKTURA.pdf; Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf
2026-06-05 17:04:38,ru,Столица Узбекистана,Краткий ответ: В предоставленной базе знаний нет информации о столице Узбекистана.,Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf; Филиалы – WIKI FAKTURA.pdf; Подразделения – WIKI FAKTURA.pdf; Сотрудники – WIKI FAKTURA.pdf; Гибридная почта – WIKI FAKTURA.pdf
2026-06-08 11:02:29,ru,Какие типы документов есть в Faktura?,"Error in generating answer: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",Маршрутизация документов – WIKI FAKTURA.pdf; Массовая рассылка – WIKI FAKTURA.pdf; Согласование документов – WIKI FAKTURA.pdf
2026-06-08 11:05:36,ru,Проверь ИНН 302563857,"Как AI-помощник, я не могу выполнить прямую проверку ИНН по номеру 302563857. Моя база знаний не содержит инструкций или функционала для осуществления такой операции. **Что можно проверить:** В данном случае, я не могу предложить конкретные шаги для проверки ИНН, так как эта функция не описана в моих инструкциях. **Если в базе нет точной инструкции — честно напиши это:** Действительно, в моей текущей базе знаний отсутствуют инструкции, как именно выполнить проверку ИНН по номеру.",Faktura API: CheckCompanyExist
2026-06-08 11:06:37,ru,Какие типы документов есть в Faktura,"Error in generating answer: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",Маршрутизация документов – WIKI FAKTURA.pdf; Согласование документов – WIKI FAKTURA.pdf; Прикрепление файлов к документу – WIKI FAKTURA.pdf; Массовая рассылка – WIKI FAKTURA.pdf
2026-06-08 11:58:17,ru,Проверь ИНН 302563857,"Error in generating answer: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",Faktura API: CheckCompanyExist
2026-06-08 12:01:27,ru,проверь инн 489043363,"Error in generating answer: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",Faktura API: CheckCompanyExist
2026-06-08 12:03:35,ru,Какие типы документов есть в Faktura?,"Error in generating answer: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",Faktura API: GetDocumentTypes
2026-06-08 12:04:43,ru,Как создать счет-фактуру,"Error in generating answer: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",Счет-фактура акциз (ПКМ № 489) – WIKI FAKTURA.pdf; Счет-фактура ФАРМ(ПКМ № 489) – WIKI FAKTURA.pdf; Акт-сверки(Роуминг) – WIKI FAKTURA.pdf
2026-06-08 12:07:26,ru,Как создать счет-фактуру,"Error in generating answer: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",Счет-фактура акциз (ПКМ № 489) – WIKI FAKTURA.pdf; Счет-фактура ФАРМ(ПКМ № 489) – WIKI FAKTURA.pdf; Акт-сверки(Роуминг) – WIKI FAKTURA.pdf
2026-06-08 12:51:07,ru,Какие типы документов есть в Faktura?,Error in generating answer: argument of type 'bool' is not iterable,Faktura API: GetDocumentTypes
2026-06-08 12:52:35,ru,Как войти в аккаунт,"Чтобы войти в аккаунт Faktura.uz, выполните следующие шаги: 1. Откройте веб-браузер и перейдите на сайт: https://faktura.uz. 2. На главной странице нажмите кнопку «Войти», которая расположена в правом верхнем углу. **Что можно проверить, если не получается войти:** * **Данные для входа:** Убедитесь, что правильно ввели номер телефона или адрес электронной почты, а также пароль. * **ЭЦП:** Если вход связан с Электронной цифровой подписью (ЭЦП), проверьте, доступен ли сертификат ЭЦП на вашем компьютере и корректно ли он работает через программу e-imzo. * **Для сотрудников:** Если вы являетесь сотрудником, проверьте, был ли вы добавлен администратором и активировали ли приглашение. **Если вы забыли пароль:** 1. На странице входа найдите ссылку «Забыли пароль?» или аналогичную. 2. Нажмите на нее и введите адрес электронной почты, связанный с вашим аккаунтом. 3. Проверьте свою электронную почту – туда будет отправлено письмо с инструкциями по восстановлению пароля. 4. Перейдите по ссылке из письма, чтобы создать новый пароль для вашего аккаунта. Если после всех этих действий доступ восстановить не удалось, вы можете обратиться в поддержку Faktura.uz по номеру: +998 71 200 00 13. **Источник / основание из базы:** * approved_case:manual_login_001 * Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf",approved_case:manual_login_001; Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; Согласование документов – WIKI FAKTURA.pdf
2026-06-08 13:03:13,ru,проверь инн 489043363,Error in generating answer: argument of type 'bool' is not iterable,Faktura API: CheckCompanyExist
2026-06-08 14:24:43,ru,Как войти в аккаунт,"Чтобы войти в аккаунт Faktura.uz: **Краткий ответ** Откройте веб-браузер и перейдите на сайт https://faktura.uz. На главной странице нажмите кнопку «Войти», которая расположена в правом верхнем углу. После этого вам будет предложено ввести свои учетные данные (номер телефона или электронную почту и пароль) для входа. **Что можно проверить** Если у вас возникли трудности со входом, пожалуйста, проверьте следующее: * **Правильность введенных данных:** Убедитесь, что вы верно ввели номер телефона или электронную почту, а также пароль. * **ЭЦП:** Если ваш вход связан с использованием ЭЦП, проверьте, что сертификат ЭЦП доступен на вашем компьютере и корректно функционирует через e-imzo. * **Статус сотрудника:** Если вы являетесь сотрудником, уточните, был ли ваш аккаунт добавлен администратором и активировали ли вы приглашение. **Если в базе нет точной инструкции** Если после всех проверок войти не удается, и вам нужно сбросить пароль, точная инструкция по сбросу пароля доступна в базе знаний: 1. На странице входа в систему найдите и нажмите ссылку «Забыли пароль?» или аналогичную. 2. Введите адрес электронной почты, связанный с вашим аккаунтом, и отправьте запрос. 3. Проверьте свою почту — на указанный адрес будет отправлено письмо с инструкциями по восстановлению. Следуйте этим инструкциям. 4. Перейдя по ссылке из письма, вы сможете создать новый пароль для своего аккаунта. Если доступ восстановить не удалось, вы можете обратиться в поддержку Faktura.uz по телефону: +998 71 200 00 13. **Источник / основание из базы** * approved_case:manual_login_001 * Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf",approved_case:manual_login_001; Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; Согласование документов – WIKI FAKTURA.pdf
2026-06-08 14:25:30,ru,Забыл пароль от аккаунта,"Если вы забыли пароль от аккаунта Faktura.uz, вы можете восстановить его, следуя этим шагам: **Краткий ответ** Для восстановления пароля используйте функцию ""Забыли пароль?"" на странице входа, введя свой email. **Что можно проверить** 1. На главной странице Faktura.uz нажмите кнопку «Войти» (расположена в правом верхнем углу). 2. На странице входа в систему найдите ссылку «Забыли пароль?» или аналогичную и нажмите на нее. 3. Вам будет предложено ввести адрес электронной почты, связанный с вашим аккаунтом. Введите его и отправьте запрос. 4. Проверьте свою почту: на указанный адрес будет отправлено письмо с инструкциями по восстановлению пароля. Следуйте этим инструкциям. 5. После перехода по ссылке из письма вы сможете создать новый пароль для вашего аккаунта. Если доступ восстановить не удалось, вы можете обратиться в поддержку Faktura.uz по номеру: +998 71 200 00 13. **Источник / основание из базы** SOURCE 1, SOURCE 2",approved_case:manual_login_001; Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; Согласование документов – WIKI FAKTURA.pdf
2026-06-08 14:26:35,ru,Как создать счет-фактуру,"Чтобы создать счет-фактуру: **Краткий ответ:** Вы можете создать счет-фактуру через ""Рабочий стол"" или боковое меню, выбрав соответствующий шаблон и заполнив необходимые данные. **Что можно проверить:** 1. **Начало создания:** Перейдите во вкладку ""Рабочий стол"" или откройте раздел ""Документы"" в боковом меню системы, затем выберите ""Создать документ"". 2. **Выбор шаблона:** Нажмите на кнопку ""Счет-фактура"" и выберите необходимый шаблон, например, ""Счет-фактура ФАРМ (ПКМ № 489)"" или ""Счет-фактура акциз (ПКМ № 489)"". 3. **Заполнение основных данных:** * Укажите номер и дату счета-фактуры, а также данные договора. * Проверьте тип счет-фактуры (по умолчанию ""Стандартный"", но его можно изменить). * В поле ""ИНН / ПИНФЛ покупателя"" укажите ИНН или название организации; остальные данные заполнятся автоматически. 4. **Заполнение табличной части:** * В поле ""ИКПУ и наименование товаров (работ, услуг)"" выберите нужный код. Если кода нет, его можно добавить в разделе ""Настройки"" -> ""ИКПУ коды"". * Заполните поле ""Описание товаров (работ, услуг)"". * Выберите единицу измерения. * Выберите происхождение товара (собственное производство, перепродажа, услуга, не участвую). Автоматический выбор можно настроить во вкладке ""Настройки"". * Чтобы добавить новую строку, нажмите на значок «+» или кнопку «Добавить ещё». 5. **Указание ответственных лиц:** * Укажите руководителя и главного бухгалтера организации. Их можно выбрать из списка добавленных сотрудников или ввести Ф.И.О. вручную. Автоматическое заполнение этих полей можно настроить в разделе «Настройки», затем в «Реестры». 6. **Сохранение:** Нажмите на кнопку «Создать документ» в правом нижнем углу для сохранения данных. Рядом расположена кнопка «Просмотр» для предварительного просмотра. **Источник / основание из базы:** * SOURCE 1: Счет-фактура акциз (ПКМ № 489) * SOURCE 2: Счет-фактура ФАРМ(ПКМ № 489) * SOURCE 3: Счет-фактура ФАРМ(ПКМ № 489) * SOURCE 5: Счет-фактура акциз (ПКМ № 489)",Счет-фактура акциз (ПКМ № 489) – WIKI FAKTURA.pdf; Счет-фактура ФАРМ(ПКМ № 489) – WIKI FAKTURA.pdf; Акт-сверки(Роуминг) – WIKI FAKTURA.pdf
2026-06-08 14:39:32,en,How to send document to counteragent,"To send a document to a counteragent, you can either send it directly after signing, or use the Hybrid Mail service. **What you can check:** 1. **For documents like invoices or contracts:** * After creating a document (e.g., an invoice or a contract), an window will open displaying the ready document. * In this window, you can sign the document using your EDS key. * After signing, you can then send the document to the buyer (counteragent). * *(Based on Source 1, Source 4)* 2. **Using Hybrid Mail:** * Fill in the ""Recipient (Full Name / Organization)"" and ""Recipient's address."" * Attach the document file (doc, docx, xls, xlsx, pdf, txt) that needs to be sent by clicking ""Choose file."" * Specify the ""Region and district"" of the recipient. * Click the ""Сохранить и отправить"" (Save and Send) button to complete the process and send the document. * *(Based on Source 2)*",Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf; Гибридная почта – WIKI FAKTURA.pdf; Подразделения – WIKI FAKTURA.pdf; Договор(Роуминг) – WIKI FAKTURA.pdf; Согласование документов – WIKI FAKTURA.pdf
2026-06-08 14:40:59,ru,Как войти в аккаунт,"Для входа в аккаунт Faktura.uz выполните следующие действия: **Краткий ответ** 1. Откройте веб-браузер и перейдите на сайт: https://faktura.uz. 2. На главной странице нажмите кнопку «Войти» (она расположена в правом верхнем углу). 3. В открывшемся окне авторизации введите свои учетные данные (номер телефона или электронную почту и пароль) или используйте электронную цифровую подпись (ЭЦП), если вход связан с ней. **Что можно проверить (если возникли проблемы со входом)** Если у вас не получается войти в аккаунт, пожалуйста, проверьте следующее: * **Учетные данные:** Убедитесь, что вы правильно ввели номер телефона или адрес электронной почты, а также пароль. * **ЭЦП:** Если вы входите с помощью ЭЦП, проверьте, что ваш сертификат ЭЦП доступен на компьютере и корректно работает через программу e-imzo. * **Статус сотрудника:** Если вы являетесь сотрудником, уточните у администратора, был ли ваш аккаунт добавлен и активировали ли вы приглашение. **Как восстановить пароль (если вы его забыли)** Если вход не удается из-за забытого пароля: 1. На странице входа в систему найдите и нажмите ссылку «Забыли пароль?» или аналогичную. 2. Введите адрес электронной почты, который связан с вашим аккаунтом, и отправьте запрос. 3. Проверьте свою электронную почту. Вам придет письмо с инструкциями по восстановлению пароля. Следуйте этим инструкциям. 4. Перейдя по ссылке из письма, вы сможете создать новый пароль для своего аккаунта. Если доступ восстановить не удалось, вы можете обратиться в поддержку Faktura.uz по номеру: +998 71 200 00 13. **Источник / основание из базы:** * approved\_case:manual\_login\_001 * Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf",approved_case:manual_login_001; Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; Согласование документов – WIKI FAKTURA.pdf
2026-06-08 14:41:42,ru,как настроить рассылку,"Чтобы настроить массовую рассылку в системе Faktura.uz, выполните следующие действия: **Краткий ответ:** Вы можете создать массовую рассылку через ""Рабочий стол"" или раздел ""Сообщения"" в боковом меню, затем указать название, загрузить документ и выбрать тип импорта контрагентов. Рассылка может быть в форматах внутреннего документа, гибридной почты, SMS или электронных писем. **Что можно проверить / Как настроить:** 1. **Доступ к функции:** В системе Faktura.uz перейдите на вкладку ""Рабочий стол"" или откройте раздел ""Сообщения"" в боковом меню и выберите ""Массовая рассылка"". 2. **Формат рассылки:** Определите, в каком виде вы хотите отправить рассылку: * **Внутренний документ:** Выберите формат ""Документ"". Откроется окно, где вы сможете загрузить необходимый файл. * **Гибридная почта:** (Отправка документов как в электронном, так и в бумажном виде). * **SMS-сообщения.** * **Электронные письма:** Направляются непосредственно на электронный адрес контрагента. 3. **Шаги по отправке (для внутреннего документа):** * Укажите название рассылки для удобной идентификации. * Загрузите необходимый документ с вашего компьютера. Поддерживаемые форматы: DOC, DOCX, XLS, XLSX, PDF, TXT, HTML. * Выберите тип импорта контрагентов, например, ""Моим контрагентам"". **Источник / основание из базы:** * SOURCE 5: ""Рассылку в системе Faktura.uz можно создать во вкладке “Рабочий стол” или через боковое меню системы, открыв раздел “Сообщения” (Массовая рассылка)."" * SOURCE 1: ""Рассылку можно осуществить в различных форматах: в виде внутреннего документа, гибридной почты, SMS-сообщений, а также электронных писем..."", ""Для формирования рассылки в виде внутреннего документа... необходимо выбрать формат рассылки “Документ”... Откроется окно, в котором вы сможете загрузить необходимый файл..."", ""Для отправки рассылки выполните следующие шаги: 1. Укажите название рассылки... 2. Загрузите необходимый документ... Поддерживаемые форматы: DOC, DOCX, XLS, XLSX, PDF, TXT, HTML. 3. Выберите тип импорта контрагентов: – “Моим контрагентам” — рассылка"" * SOURCE 2: Описание создания гибридной почты (перейдите в раздел ""Документы"" - ""Гибридная почта"", нажмите ""Создать гибридную почту"").",Массовая рассылка – WIKI FAKTURA.pdf; Гибридная почта – WIKI FAKTURA.pdf; Оповещение – WIKI FAKTURA.pdf
