case_id,datetime,language,question,approved_answer,category,source_type,source_id,status,notes
call_center_421,2026-06-19 23:05:33,ru,Ассалому алайкум 04.06.2026 санадаги фактурани отказ килсам буладими Нега фактура ясалганда нарх ва кол-ао ёзгандан кегин суммаларни автоматический хисобламаяпти фактура уз Факат ТТН да сумма хисоблавотти хужжат 1 498 761 195 Булди рахмат,"assalomu aleykum yoq otkaz qlolmisiz chunki 10kundan otib ketkan skrinshot qilib korsatolisizmi qanaqa yaratvotkanizi? anydesk berolisizmi? ulanvoman anydeskiz ochiq ulanib bomayapti sog bolin . , iltimos, xizmat sifatini baholang. Sizning fikringiz xizmatimiz sifatini yanada yaxshilashga yordam beradi.",call_center,call_center,call_center_421,approved,Imported from call center API
call_center_418,2026-06-19 23:05:33,ru,А Faktura Support (fakturauzsupportbot) Выберите язык! Tilni tanlang! Faktura Support (fakturauzsupportbot) Для более быстрого решения вопроса выберите нужный раздел ниже. Faktura Support (fakturauzsupportbot) Выберите тип обращения: Нет,"Мы заметили, что вы не завершили создание заявки в службе поддержки Faktura.uz. Надеемся, что ваш вопрос был успешно решен. Если проблема все еще актуальна, просим вас ознакомиться с инструкцией по работе с ботом и повторно создать обращение. Благодарим за использование наших сервисов и желаем вам успешной работы!",call_center,call_center,call_center_418,approved,Imported from call center API
call_center_417,2026-06-19 23:05:33,ru,"Уз авто фактура жунатолмаяпти, ошибка чикаяпти некорректный лот номер деб, лекин фактический лот номер тугри нимада зато булиши мумкин? Moliyaviy masala","Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. ! Siz Faktura.uz qo'llab-quvvatlash xizmatida murojaat yaratish jarayonini yakunlamaganingizni payqadik. Muammoingiz muvaffaqiyatli hal bo'lgan deb umid qilamiz. Agar muammo hali ham dolzarb bo'lsa, botdan foydalanish bo'yicha yo'riqnoma bilan tanishib chiqishingizni va murojaatni qayta yaratishingizni so'raymiz. Xizmatlarimizdan foydalanganingiz uchun minnatdorchilik bildiramiz va ishlaringizga muvaffaqiyat tilaymiz!",call_center,call_center,call_center_417,approved,Imported from call center API
call_center_416,2026-06-19 23:05:33,ru,"""AUTOLUBE"" MCHJ ( ) ushbu firmani faktura sinxrinizatsiya qilib bo'lmayapti fakturalarni 1 c га ""AUTOLUBE"" MCHJ ( ) ushbu firmani faktura sinxrinizatsiya qilib bo'lmayapti fakturalarni 1 c га FAKTURA.UZ saytidan xam sinxrinizatsiya qilib bo'lmayapti Finance accountant service (Finance_accountant_service) shundan bo'lishi mumkinmi","o'zizi programistiz bormila? Bu narsaga ahamiyat bermen kam hujjat jo'natkaniz uchun shunaqa yzovuv chiqvoti } Qaysi hujjat ko'rinmayapti hujjatizni ID sini bering korintirib beraman . , iltimos, xizmat sifatini baholang. Sizning fikringiz xizmatimiz sifatini yanada yaxshilashga yordam beradi.",call_center,call_center,call_center_416,approved,Imported from call center API
call_center_415,2026-06-19 23:05:33,ru,Assalomu alekum Shuni qayerdan topsa bo'ladi Fillial uchun dostup ochmoqchiman Soliq servisdan beriladimi Kecha anys desk orqali shuni topib berishgandi yo'q rahmat,"Нма йордам беролиман сизга Да соликдан биринчи очилади кейн бзада коринади кошган филиализ Бошка саволариз йокми Фактура уз бойича . , iltimos, xizmat sifatini baholang. Sizning fikringiz xizmatimiz sifatini yanada yaxshilashga yordam beradi.",call_center,call_center,call_center_415,approved,Imported from call center API
call_center_410,2026-06-19 23:05:33,ru,Didoksda faktura kurinib turibdi faktura uzda yoq Ҳужжат IDси ( Didox.uz ): Ҳужжат IDси ( Rouming.uz ): assalomu aleykum Khamrakulov_99 (KHAMROKULOV11) Ҳужжат IDси ( Didox.uz ): Ҳужжат IDси ( Rouming.uz ): шу фактура куринмаёпти фактура узда интеграция килиб беринг Faktura Support (fakturauzsupportbot) Бошка саволариз йокми Фактура уз бойича куринди болди рахмат ишилага омад,"assalomu aleykum dokument IDsini tashlab berin Нма йордам беролиман Siz so'ragan hujjatni quyidagi havola orqali ko'rib chiqishingiz mumkin: Qo'shimcha savollar yuzaga kelsa, mamnuniyat bilan yordam beramiz. Бошка саволариз йокми Фактура уз бойича Рахмат котакон . , iltimos, xizmat sifatini baholang. Sizning fikringiz xizmatimiz sifatini yanada yaxshilashga yordam beradi.",call_center,call_center,call_center_410,approved,Imported from call center API
call_center_408,2026-06-19 23:05:33,ru,Assalomu alekum Akt sverka 1haftadan beri ketmayabbdi win-hhj573m81rr@ad shu login йфигд йшдвшь qabul qildim Shuni yoqib qo'ysam bo'ldimi Xop rahmat,"any deskiz bormi Prinyat qiling Soliqda o'ziz ruxsat berib qoyin hoziregi kirilgan stranitsada keyin imzolashiz mumkin HA filialni ham korsatib tanlab qoying. Hujjat jonatib koring Благодарим вас за обращение в службу поддержки Faktura.uz. Надеемся, что нам удалось помочь в решении вашего вопроса. Будем признательны, если вы оцените качество обслуживания. Спасибо за доверие и хорошего дня!",call_center,call_center,call_center_408,approved,Imported from call center API
call_center_404,2026-06-19 23:05:33,ru,"Алина Здравствуйте. Не получается зарегистрироваться. Что делать? Ключ не видит. Алина Здравствуйте. Не получается зарегистрироваться. Что делать? да, есть Что дальше? Да Спасибо.","здраствуйте. у вас имеется энй деск , можете дать я вам помогу запишите пароль чтоб не терять вы вошли, да вам больше помошь не нужна если хотите научится пользоваться то можете вбить на ютубе фактура уз и там уже получить больше информацыю хорошо тогда",call_center,call_center,call_center_404,approved,Imported from call center API
call_center_401,2026-06-19 23:05:33,ru,опять в системе появилась ошибка с отправкой сч.ф. с льготой по ндс 100261,"Мы заметили, что вы не завершили создание заявки в службе поддержки Faktura.uz. Надеемся, что ваш вопрос был успешно решен. Если проблема все еще актуальна, просим вас ознакомиться с инструкцией по работе с ботом и повторно создать обращение. Благодарим за использование наших сервисов и желаем вам успешной работы!",call_center,call_center,call_center_401,approved,Imported from call center API
call_center_400,2026-06-19 23:05:33,ru,Ассалому алайкум ман банкда ишлайман. Кредит карздорлиги буйича огохлантрищ хатларини реестр килиб жунатишни амалий еодам берсангиз Faktura Support (fakturauzsupportbot) Выберите язык! Tilni tanlang! Faktura Support (fakturauzsupportbot) uchun quyidagi kerakli bo'limni tanlang. Faktura Support (fakturauzsupportbot) : Инн APEXBANK AJ Кредит карздорлиги буйича огохлантириш хатларини реестр килиб жунатишни амалий еодам берсангиз Ха Намуна бор окила Ассалому алайкум алокага чикишади дигандиз ха чикишди рахмат,"Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. . Murojatingiz uchun raxmat rahmat! So'rov raqamingiz: 400 Operator tez orada ulanadi. assalomu aleykum individualniy forma boyicha ishlisilami? nomer berolisizmi boglanish uchun? assalomu aleykum bugun aloqaga chiqishligi keragidi telefon qlishdimi?",call_center,call_center,call_center_400,approved,Imported from call center API
call_center_399,2026-06-19 23:05:33,ru,"Faktura Support (fakturauzsupportbot) Anydesk беролисизми Бор, эртага улансангиз буладими?","Siz Faktura.uz qo'llab-quvvatlash xizmatida murojaat yaratish jarayonini yakunlamaganingizni payqadik. Muammoingiz muvaffaqiyatli hal bo'lgan deb umid qilamiz. Agar muammo hali ham dolzarb bo'lsa, botdan foydalanish bo'yicha yo'riqnoma bilan tanishib chiqishingizni va murojaatni qayta yaratishingizni so'raymiz. Xizmatlarimizdan foydalanganingiz uchun minnatdorchilik bildiramiz va ishlaringizga muvaffaqiyat tilaymiz!",call_center,call_center,call_center_399,approved,Imported from call center API
call_center_398,2026-06-19 23:05:33,ru,Assalomu alaykum Parulni bilmay qoldim,"Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. ! Siz Faktura.uz qo'llab-quvvatlash xizmatida murojaat yaratish jarayonini yakunlamaganingizni payqadik. Muammoingiz muvaffaqiyatli hal bo'lgan deb umid qilamiz. Agar muammo hali ham dolzarb bo'lsa, botdan foydalanish bo'yicha yo'riqnoma bilan tanishib chiqishingizni va murojaatni qayta yaratishingizni so'raymiz. Xizmatlarimizdan foydalanganingiz uchun minnatdorchilik bildiramiz va ishlaringizga muvaffaqiyat tilaymiz!",call_center,call_center,call_center_398,approved,Imported from call center API
call_center_397,2026-06-19 23:05:33,ru,Ассалому алейкум Фактура жунатишда шу чикаябди Кетмаябди,"Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. . . Murojatingiz uchun raxmat rahmat! So'rov raqamingiz: 397 Operator tez orada ulanadi. Соликк колл центирига алокага чикиб коринг . , iltimos, xizmat sifatini baholang. Sizning fikringiz xizmatimiz sifatini yanada yaxshilashga yordam beradi.",call_center,call_center,call_center_397,approved,Imported from call center API
call_center_396,2026-06-19 23:05:33,ru,AndijanATX AKA FALTURA KETMYAPTI AndijanATX AKA FALTURA KETMYAPTI,"Murojatingiz uchun raxmat rahmat! So'rov raqamingiz: 396 Operator tez orada ulanadi. . Hozirda rouming operatori (my.soliq.uz) tomonida texnik nosozlik kuzatilmoqda. Faktura.uz tizimi odatiy tartibda ishlamoqda. Yuzaga kelgan muammo haqida rouming operatori mutaxassislariga xabar berildi va hozirda muammoni bartaraf etish ishlari ular tomonidan olib borilmoqda. Iltimos, biroz vaqtdan so'ng qayta urinib ko'ring. Tushunganingiz uchun rahmat. . , iltimos, xizmat sifatini baholang. Sizning fikringiz xizmatimiz sifatini yanada yaxshilashga yordam beradi.",call_center,call_center,call_center_396,approved,Imported from call center API
call_center_395,2026-06-19 23:05:33,ru,Регистрацияда ключ куринмаяпти Оператор Регистрацияда ключ куринмаяпти Бор 110 036 371 Ёрдам беринг,"any deskiz bormi Raqamini yuborin . , iltimos, xizmat sifatini baholang. Sizning fikringiz xizmatimiz sifatini yanada yaxshilashga yordam beradi.",call_center,call_center,call_center_395,approved,Imported from call center API
call_center_394,2026-06-19 23:05:33,ru,"Bilimlar bazasi Murojat holatini tekshirish шу фактурани 1с приход килмайапти, бошка фактураларни приход килйапти Striker шу фактурани 1с приход килмайапти, бошка фактураларни приход килйапти шу 1с приход бумайапти Striker шу 1с приход бумайапти бундан кейин келган фактуралар приход булди факат шу бумайапти",Bu bo'lim ishlab chiqilmoqda! . Bu bo'lim ishlab chiqilmoqda! . : . Murojatingiz uchun raxmat rahmat! So'rov raqamingiz: 394 Operator tez orada ulanadi. Нма йордам беролиман Текшириб корингчи Дакументиз бзани системада бор 1С програмистизга чикинг бу масала бойича,call_center,call_center,call_center_394,approved,Imported from call center API
call_center_393,2026-06-19 23:05:33,ru,Ассалому алейкум Faktura.uz бизда ГЛ.Бухгалтер узгарган шуни ДСИ соликга форма 8 берганда Faktura.uz да автомат узгарадими ёки Faktura.uz да ручной узгартирамизми жавобила у-н олдиндан рахмат Ассалому алейкум Faktura.uz бизда ГЛ.Бухгалтер узгарган шуни ДСИ соликга форма 8 берганда Faktura.uz да автомат узгарадими ёки Faktura.uz да ручной узгартирамизми жавобила у-н олдиндан рахмат Ассалому алейкум Faktura.uz бизда ГЛ.Бухгалтер узгарган шуни ДСИ соликга форма 8 берганда Faktura.uz да автомат узгарадими ёки Faktura.uz да ручной узгартирамизми жавобила у-н олдиндан рахмат а что так долга извините,"Murojatingiz uchun raxmat rahmat! So'rov raqamingiz: 393 Operator tez orada ulanadi. assalomu aleykum sizga keladigan dokumentlada avtomaticheski ozgaradi agar oziz yaratvotkanizda eski buxgalteriz chiqvotkan boldi nastroykada reestri razdelidan tekshirib korin eski buxgalteriz qolib ketmaganmi . , iltimos, xizmat sifatini baholang. Sizning fikringiz xizmatimiz sifatini yanada yaxshilashga yordam beradi.",call_center,call_center,call_center_393,approved,Imported from call center API
call_center_390,2026-06-19 23:05:33,ru,Дилафруз Mohinur Mohinur Дилафруз рахмат,Murojatingiz uchun raxmat rahmat! So'rov raqamingiz: 390 Operator tez orada ulanadi. hozir sizga any desk orqali yordam berdim va akauntizga kirib berdim ma'lumotlarizi olib qoldim mutaxasisga berib qoydim ko'rib berishadi,call_center,call_center,call_center_390,approved,Imported from call center API
call_center_389,2026-06-19 23:05:33,ru,ИНН 1 томонлама сч/фактру юборишда муаммо булмокда. Eldor Ассалом алейкум. 1 томонлами сч/фактурада хато бермокда. Нима сабабдан айтворинг Товар бергандик Одностороннее Ярим соатда берсам буладими Кучада эдим 1395350583 Хоп Йук Канака килиб жунатса булади 1 томонлама,"Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. . Murojatingiz uchun raxmat rahmat! So'rov raqamingiz: 389 Operator tez orada ulanadi. Нма тип дакумент бу Anydesk беролисизми Болади болади Кирвоман Хозр аниглаш тираман бу ошибкани Ока олдин йаратиб корганмидиз Одно сторони госс секрет блан Одно стороний жонатиб бамасакан унда госс сектер килип Гос секретдан ташкари бошкасинийам килиб корингчи . , iltimos, xizmat sifatini baholang. Sizning fikringiz xizmatimiz sifatini yanada yaxshilashga yordam beradi.",call_center,call_center,call_center_389,approved,Imported from call center API
call_center_387,2026-06-19 23:05:33,ru,Ассалому алайкум Карши ТехПД Акт сверка юборсам кетмаяпти Карши ТехПД мана шундай хатолик беряпти,"Murojatingiz uchun raxmat rahmat! So'rov raqamingiz: 387 Operator tez orada ulanadi. assalomu aleykum redaktirovat qilib boshidan jonatib korin . , iltimos, xizmat sifatini baholang. Sizning fikringiz xizmatimiz sifatini yanada yaxshilashga yordam beradi.",call_center,call_center,call_center_387,approved,Imported from call center API
call_center_382,2026-06-19 23:05:33,ru,Menda elektron klyuch bor lekin ko'rinmayapti\ Menda soliq elektron klyuch bor lekin ko'rinmayapti Faktura Support (fakturauzsupportbot) assalomu aleykum any desk bera olaszmi 1449899328,Murojatingiz uchun raxmat rahmat! So'rov raqamingiz: 382 Operator tez orada ulanadi. assalomu aleykum any desk bera olaszmi,call_center,call_center,call_center_382,approved,Imported from call center API
call_center_379,2026-06-19 23:05:33,ru,Assalomu alaykum! Faktura.uz | UZBEKNEFTGAZ (fakturauzbekneftgazbot) Выберите язык! Tilni tanlang! Faktura.uz | UZBEKNEFTGAZ (fakturauzbekneftgazbot) uchun quyidagi kerakli bo'limni tanlang. Faktura.uz | UZBEKNEFTGAZ (fakturauzbekneftgazbot) : Fakturada kurinmayapdi kelgan fakturalar Soliq servisda mavjud lekin fakturada kurinmayapdi Sizlarni fakturangizni atkaz qilaman bugun tug'ri bulmasa Amriddin tel qilsin,Murojatingiz uchun raxmat rahmat! So'rov raqamingiz: 379 Operator tez orada ulanadi. assalomu aleykum id dakumenta bersez kurntirib beraman hop telefon nomer bering,call_center,call_center,call_center_379,approved,Imported from call center API
call_center_378,2026-06-19 23:05:33,ru,ассалому алекум перечесления пул чикаришга хисоб ракам ташаб юборизлар илтимос Bilimlar bazasi Moliyaviy masala Moliyaviy masala,Bu bo'lim ishlab chiqilmoqda! . : . Murojatingiz uchun raxmat rahmat! So'rov raqamingiz: 378 Operator tez orada ulanadi.,call_center,call_center,call_center_378,approved,Imported from call center API
call_center_377,2026-06-19 23:05:33,ru,Ассалому Алейкум Ошибка в системе Добавил все икпу но приподписание всегда выдает ощибку прошу помоч иногода не все подрисывает ключ этим тоже но я все выбираю К сожалению нет Faktura Support (fakturauzsupportbot) Тогда оправьте скриншот ошибки Щас Да Уже несколько раз Есть определенные Икпу вот эти всегда выдают ощибку Не знаю добавляю потом заново все загружаю бестолку Только после как открываю редактировать и тыкаю пару раз на икпу оно берет Еще Не все подписывается если лагает оставляет иногда фактура уз если фактур много,"У вас есть Any desk Тогда оправьте скриншот ошибки ОК указанное ИКПУ добавили в настройках Удалите тот ИКПУ и заново добавите. Потом откройте документ просто сохраните и попробуйте подписать. Благодарим вас за обращение в службу поддержки Faktura.uz. Надеемся, что нам удалось помочь в решении вашего вопроса. Будем признательны, если вы оцените качество обслуживания. Спасибо за доверие и хорошего дня!",call_center,call_center,call_center_377,approved,Imported from call center API
call_center_376,2026-06-19 23:05:33,ru,Ҳужжат IDси ( Didox.uz ): Ҳужжат IDси ( Rouming.uz ): Ошибка в системе Ҳужжат IDси ( Didox.uz ): Ҳужжат IDси ( Rouming.uz ): assalomu aleykum Khamrakulov_99 (KHAMROKULOV11) Ҳужжат IDси ( Didox.uz ): Ҳужжат IDси ( Rouming.uz ): shu faktura faktura uzda kurinmayapti ? kim dur bormi ?,"Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. . Murojatingiz uchun raxmat rahmat! So'rov raqamingiz: 376 Operator tez orada ulanadi. Нма йордам беролиман Siz so'ragan hujjatni quyidagi havola orqali ko'rib chiqishingiz mumkin: Qo'shimcha savollar yuzaga kelsa, mamnuniyat bilan yordam beramiz.",call_center,call_center,call_center_376,approved,Imported from call center API
call_center_375,2026-06-19 23:05:33,ru,Хозр ха блади узи 5 кун кирмаса шунака булади уткан сафар хам бошка оператириз ишлаб берганди корхона инн керакми ключ фойдаланмайман узи бошида тел номер ва пороль берганди хуп ертага курип беринг илтимос ким деп мурожот киламан эртага унака килдим ха лекин ким деп мурожот киламан сизга ахир эртага бошка ном буп кетадими оератор оператор хуп рахмат ким га кунгирок килиш кк ИНН,"oshibkani fotosini adminiz szga dostup bermagan ertaga qarab bersam buladimi? eri klyuchiz kurnvottimi bzda texnik muammo sababli hozr qarab bera olmayman unda f5 tugmasini bosib keshini tozalang va perezagruzka qlb qayta urnb kuring ertaga qarab bersam buladimi hozr dostup yuqda albatta ismim Baxriniso operatorlaga tushsez etasz yokida uzmga assalomu aleykum, faktura uz xizmati ishga tushdi. endi qungiroq qlsez buladi 998712000013 uzingizni telefon raqamiz va inn nizni bera olaszmi?",call_center,call_center,call_center_375,approved,Imported from call center API
call_center_374,2026-06-19 23:05:33,ru,assalomalekum 6RXJtDZhpoXSwddTNWfHw1YK28febHjSEPd1jJZCbFzR faktura tortmayapti 6RXJtDZhpoXSwddTNWfHw1YK28febHjSEPd1jJZCbFzR ID: wu id nomerli faktura tortmayapti ulaniwmadi tezroq hal qiliw kere Ganieva (GanievaDM) ID: wu fakturani tortmayapti Inn 305 952710,Murojatingiz uchun raxmat rahmat! So'rov raqamingiz: 374 Operator tez orada ulanadi. Tekshirib koring,call_center,call_center,call_center_374,approved,Imported from call center API
call_center_373,2026-06-19 23:05:33,ru,𝗗𝗼𝗻𝗶𝘆𝗼𝗿 𝗫𝗼𝗷𝗶𝘆𝗲𝘃  Ассалому алейкум фактура имзолаб булмаябди,"Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. ! Siz Faktura.uz qo'llab-quvvatlash xizmatida murojaat yaratish jarayonini yakunlamaganingizni payqadik. Muammoingiz muvaffaqiyatli hal bo'lgan deb umid qilamiz. Agar muammo hali ham dolzarb bo'lsa, botdan foydalanish bo'yicha yo'riqnoma bilan tanishib chiqishingizni va murojaatni qayta yaratishingizni so'raymiz. Xizmatlarimizdan foydalanganingiz uchun minnatdorchilik bildiramiz va ishlaringizga muvaffaqiyat tilaymiz!",call_center,call_center,call_center_373,approved,Imported from call center API
call_center_372,2026-06-19 23:05:33,ru,Оператор Ошибка при открывания сайт счет фактуры у нас нету логин пароля мы обычно зайдем через ЭЦП ключ,"попробуйте зайти с логин и паролем Пройдите регистрацию тогда Благодарим вас за обращение в службу поддержки Faktura.uz. Надеемся, что нам удалось помочь в решении вашего вопроса. Будем признательны, если вы оцените качество обслуживания. Спасибо за доверие и хорошего дня!",call_center,call_center,call_center_372,approved,Imported from call center API
